B365L,B365W,Date,L1,L2,L3,L4,L5,Loser,Round,Series,Surface,Tournament,W1,W2,W3,W4,W5,Winner
,,17/01/00,6.0,3.0,4.0,4.0,,Canas G.,1st Round,Grand Slam,Hard,Australian Open,4.0,6.0,6.0,6.0,,Kiefer N.
,,17/01/00,2.0,1.0,,,,Schuettler R.,2nd Round,Grand Slam,Hard,Australian Open,6.0,4.0,,,,Henman T.
,,17/01/00,1.0,4.0,6.0,6.0,,Grosjean S.,3rd Round,Grand Slam,Hard,Australian Open,6.0,6.0,4.0,7.0,,Henman T.
,,17/01/00,1.0,4.0,3.0,,,Federer R.,3rd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Clement A.
,,15/01/01,3.0,2.0,5.0,,,Robredo T.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,7.0,,,Clement A.
,,15/01/01,6.0,6.0,4.0,4.0,,Gonzalez F.,1st Round,Grand Slam,Hard,Australian Open,4.0,7.0,6.0,6.0,,Coria G.
,,15/01/01,0.0,6.0,4.0,,,Ljubicic I.,1st Round,Grand Slam,Hard,Australian Open,6.0,7.0,6.0,,,Grosjean S.
,,15/01/01,5.0,7.0,3.0,5.0,,Gaudio G.,1st Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,7.0,,Kuerten G.
,,15/01/01,5.0,6.0,4.0,,,Haas T.,2nd Round,Grand Slam,Hard,Australian Open,7.0,7.0,6.0,,,Hewitt L.
,,15/01/01,6.0,4.0,4.0,,,Federer R.,3rd Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,,,Clement A.
,,15/01/01,6.0,1.0,7.0,2.0,5.0,Hewitt L.,3rd Round,Grand Slam,Hard,Australian Open,4.0,6.0,5.0,6.0,7.0,Moya C.
,,15/01/01,6.0,3.0,4.0,,,Schuettler R.,4th Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,,,Moya C.
,,15/01/01,1.0,4.0,2.0,,,Moya C.,Quarterfinals,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Grosjean S.
,,15/01/01,7.0,6.0,6.0,5.0,2.0,Grosjean S.,Semifinals,Grand Slam,Hard,Australian Open,5.0,2.0,7.0,7.0,6.0,Clement A.
,,15/01/01,4.0,2.0,2.0,,,Clement A.,The Final,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Agassi A.
,,14/01/02,1.0,0.0,4.0,,,Kiefer N.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Novak J.
,,14/01/02,6.0,1.0,6.0,1.0,4.0,Mathieu P.H.,1st Round,Grand Slam,Hard,Australian Open,2.0,6.0,4.0,6.0,6.0,Schuettler R.
,,14/01/02,4.0,6.0,2.0,6.0,,Clement A.,2nd Round,Grand Slam,Hard,Australian Open,6.0,4.0,6.0,7.0,,Gaudio G.
,,14/01/02,2.0,4.0,4.0,,,Robredo T.,2nd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Gonzalez F.
,,14/01/02,6.0,2.0,,,,Roddick A.,2nd Round,Grand Slam,Hard,Australian Open,7.0,3.0,,,,Ljubicic I.
,,14/01/02,6.0,7.0,1.0,6.0,2.0,Moya C.,2nd Round,Grand Slam,Hard,Australian Open,3.0,6.0,6.0,7.0,6.0,Schuettler R.
,,14/01/02,4.0,3.0,2.0,,,Fish M.,2nd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Youzhny M.
,,14/01/02,6.0,6.0,4.0,,,Schuettler R.,3rd Round,Grand Slam,Hard,Australian Open,7.0,7.0,6.0,,,Federer R.
,,14/01/02,4.0,4.0,4.0,,,Youzhny M.,3rd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Safin M.
,,14/01/02,6.0,6.0,6.0,4.0,6.0,Federer R.,4th Round,Grand Slam,Hard,Australian Open,7.0,4.0,3.0,6.0,8.0,Haas T.
,,14/01/02,7.0,6.0,6.0,0.0,2.0,Haas T.,Semifinals,Grand Slam,Hard,Australian Open,6.0,7.0,3.0,6.0,6.0,Safin M.
1.8330000000000002,1.833,13/01/03,3.0,6.0,6.0,2.0,5.0,Davydenko N.,1st Round,Grand Slam,Hard,Australian Open,6.0,3.0,3.0,6.0,7.0,Nieminen J.
2.75,1.4,14/01/03,6.0,0.0,1.0,4.0,,Gasquet R.,1st Round,Grand Slam,Hard,Australian Open,3.0,6.0,6.0,6.0,,Youzhny M.
1.571,2.25,15/01/03,2.0,6.0,4.0,4.0,,Canas G.,2nd Round,Grand Slam,Hard,Australian Open,6.0,4.0,6.0,6.0,,Coria G.
1.364,3.0,15/01/03,6.0,6.0,4.0,6.0,2.0,Moya C.,2nd Round,Grand Slam,Hard,Australian Open,3.0,7.0,6.0,4.0,6.0,Fish M.
1.222,4.0,16/01/03,7.0,3.0,5.0,6.0,3.0,Kuerten G.,2nd Round,Grand Slam,Hard,Australian Open,5.0,6.0,7.0,4.0,6.0,Stepanek R.
2.1,1.667,17/01/03,5.0,2.0,2.0,,,Nieminen J.,3rd Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,,,Coria G.
,,18/01/03,3.0,2.0,0.0,,,Stepanek R.,3rd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Hewitt L.
,,18/01/03,,,,,,Safin M.,3rd Round,Grand Slam,Hard,Australian Open,,,,,,Schuettler R.
,,18/01/03,1.0,6.0,3.0,2.0,,Novak J.,3rd Round,Grand Slam,Hard,Australian Open,6.0,3.0,6.0,6.0,,Youzhny M.
5.5,1.125,19/01/03,1.0,1.0,,,,Coria G.,4th Round,Grand Slam,Hard,Australian Open,6.0,3.0,,,,Agassi A.
1.4,2.75,20/01/03,4.0,6.0,1.0,6.0,3.0,Federer R.,4th Round,Grand Slam,Hard,Australian Open,6.0,3.0,6.0,1.0,6.0,Nalbandian D.
2.25,1.571,20/01/03,7.0,6.0,5.0,3.0,2.0,Youzhny M.,4th Round,Grand Slam,Hard,Australian Open,6.0,3.0,7.0,6.0,6.0,Roddick A.
1.6669999999999998,2.1,20/01/03,3.0,4.0,6.0,3.0,,Blake J.,4th Round,Grand Slam,Hard,Australian Open,6.0,6.0,1.0,6.0,,Schuettler R.
4.0,1.222,21/01/03,3.0,2.0,2.0,,,Grosjean S.,Quarterfinals,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Agassi A.
1.7269999999999999,2.0,22/01/03,3.0,7.0,1.0,0.0,,Nalbandian D.,Quarterfinals,Grand Slam,Hard,Australian Open,6.0,5.0,6.0,6.0,,Schuettler R.
1.615,2.2,24/01/03,5.0,6.0,3.0,3.0,,Roddick A.,Semifinals,Grand Slam,Hard,Australian Open,7.0,2.0,6.0,6.0,,Schuettler R.
6.25,1.118,26/01/03,2.0,2.0,1.0,,,Schuettler R.,The Final,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Agassi A.
1.25,3.75,19/01/04,7.0,6.0,4.0,1.0,2.0,Clement A.,1st Round,Grand Slam,Hard,Australian Open,6.0,4.0,6.0,6.0,6.0,Davydenko N.
1.3330000000000002,3.25,19/01/04,6.0,6.0,5.0,3.0,4.0,Schuettler R.,1st Round,Grand Slam,Hard,Australian Open,4.0,4.0,7.0,6.0,6.0,Soderling R.
1.4,2.75,19/01/04,3.0,2.0,6.0,,,Robredo T.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,7.0,,,Gaudio G.
3.25,1.333,19/01/04,1.0,4.0,5.0,,,Youzhny M.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,7.0,,,Grosjean S.
1.3330000000000002,3.25,19/01/04,6.0,6.0,6.0,,,Fish M.,1st Round,Grand Slam,Hard,Australian Open,7.0,7.0,7.0,,,Karlovic I.
4.5,1.167,19/01/04,2.0,5.0,6.0,,,Gonzalez F.,1st Round,Grand Slam,Hard,Australian Open,6.0,7.0,7.0,,,Roddick A.
1.7269999999999999,2.0,21/01/04,5.0,7.0,4.0,3.0,,Ljubicic I.,2nd Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,6.0,,Kuerten G.
11.0,1.02,21/01/04,0.0,2.0,4.0,,,Berdych T.,2nd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Agassi A.
2.5,1.5,21/01/04,6.0,4.0,6.0,4.0,,Nieminen J.,2nd Round,Grand Slam,Hard,Australian Open,7.0,6.0,4.0,6.0,,Safin M.
5.5,1.125,22/01/04,2.0,6.0,3.0,0.0,,Stepanek R.,2nd Round,Grand Slam,Hard,Australian Open,6.0,4.0,6.0,6.0,,Henman T.
1.364,3.0,24/01/04,7.0,7.0,6.0,5.0,7.0,Henman T.,3rd Round,Grand Slam,Hard,Australian Open,6.0,5.0,7.0,7.0,9.0,Canas G.
4.0,1.222,24/01/04,6.0,6.0,2.0,,,Nadal R.,3rd Round,Grand Slam,Hard,Australian Open,7.0,7.0,6.0,,,Hewitt L.
2.2,1.615,25/01/04,6.0,3.0,7.0,3.0,,Blake J.,4th Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,6.0,,Safin M.
4.333,1.2,26/01/04,4.0,2.0,1.0,,,Canas G.,4th Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Nalbandian D.
2.375,1.533,26/01/04,6.0,3.0,0.0,4.0,,Hewitt L.,4th Round,Grand Slam,Hard,Australian Open,4.0,6.0,6.0,6.0,,Federer R.
4.5,1.167,27/01/04,2.0,,,,,Grosjean S.,Quarterfinals,Grand Slam,Hard,Australian Open,6.0,,,,,Agassi A.
1.286,3.5,27/01/04,6.0,3.0,5.0,7.0,4.0,Roddick A.,Quarterfinals,Grand Slam,Hard,Australian Open,2.0,6.0,7.0,6.0,6.0,Safin M.
2.375,1.533,28/01/04,5.0,4.0,7.0,3.0,,Nalbandian D.,Quarterfinals,Grand Slam,Hard,Australian Open,7.0,6.0,5.0,6.0,,Federer R.
1.364,3.25,29/01/04,6.0,6.0,7.0,6.0,3.0,Agassi A.,Semifinals,Grand Slam,Hard,Australian Open,7.0,7.0,5.0,1.0,6.0,Safin M.
3.75,1.286,30/01/04,4.0,1.0,4.0,,,Ferrero J.C.,Semifinals,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Federer R.
3.0,1.4,31/01/04,6.0,4.0,2.0,,,Safin M.,The Final,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,,,Federer R.
5.0,1.14,17/01/05,6.0,0.0,4.0,6.0,7.0,Monaco J.,1st Round,Grand Slam,Hard,Australian Open,2.0,6.0,6.0,4.0,9.0,Fish M.
7.5,1.07,17/01/05,0.0,2.0,1.0,,,Djokovic N.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Safin M.
3.0,1.36,18/01/05,2.0,4.0,0.0,,,Berdych T.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Coria G.
3.0,1.36,18/01/05,0.0,4.0,2.0,,,Benneteau J.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Nadal R.
6.0,1.11,18/01/05,6.0,6.0,6.0,3.0,4.0,Ferrer D.,1st Round,Grand Slam,Hard,Australian Open,7.0,4.0,4.0,6.0,6.0,Nalbandian D.
10.0,1.03,18/01/05,3.0,4.0,1.0,,,Clement A.,1st Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Hewitt L.
1.57,2.25,19/01/05,6.0,4.0,5.0,6.0,,Fish M.,2nd Round,Grand Slam,Hard,Australian Open,2.0,6.0,7.0,7.0,,Gaudio G.
1.22,4.0,19/01/05,6.0,4.0,7.0,2.0,,Ljubicic I.,2nd Round,Grand Slam,Hard,Australian Open,7.0,6.0,6.0,6.0,,Baghdatis M.
4.5,1.16,19/01/05,3.0,1.0,0.0,,,Schuettler R.,2nd Round,Grand Slam,Hard,Australian Open,6.0,6.0,6.0,,,Agassi A.
